local_name,english_name,type_of_dish,public_cc_image_url,country,iso3,note
hmis,hmis/pepper salad,Side Dish,https://api.openverse.org/v1/images/c169b613-8a31-4b76-a18d-7c5e3b6d39b3/thumb/,Algeria,DZA,Side dish
Khobz el Dar,algeria semonlina bread,Side Dish,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.jlUmBiGf30pMD7v2fSG9mAHaFj%26pid%3DApi&f=1&ipt=f47ac05bb96a04143f33fccc91b7f0216506eab43f60af9c72f04a67d11b,Algeria,DZA,Side dish
Dersa,algerian chile paste,Side Dish,https://api.openverse.org/v1/images/39d05a89-4df1-4386-811c-c72c58fba448/thumb/,Algeria,DZA,Side dish
Chtitha Batata,shtitha batata /Algerian Potato Stew,Main Dish,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.1cWOEA8sqfr5eWVQoHx7DAHaEw%26pid%3DApi&f=1&ipt=d1baf88c37e7acb429f9ecd9e31327db9e691328a77f1aa3371ca30e7c59,Algeria,DZA,Main dish - eaten with sides
Bradj,Bradj,Dessert,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Mbardja_%2Cpatisserie_algerienne.jpg/420px-Mbardja_%2Cpatisserie_algerienne.jpg,Algeria,DZA,Dessert
Besbousa,Besbousa,Dessert,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Basboosa.jpg/420px-Basboosa.jpg,Algeria,DZA,Dessert
shebah sefra,shebah sefra/ garnisher of the meal,Side Dish,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Chbah_Essafra_%2Cplat_constantionois.jpg/420px-Chbah_Essafra_%2Cplat_constantionois.jpg,Algeria,DZA,"Side dish, Main dish - stand alone (e.g. one pot meal), Main dish - eaten with sides"
shebah sefra,shebah sefra/ garnisher of the meal,Main Dish,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Chbah_Essafra_%2Cplat_constantionois.jpg/420px-Chbah_Essafra_%2Cplat_constantionois.jpg,Algeria,DZA,"Side dish, Main dish - stand alone (e.g. one pot meal), Main dish - eaten with sides"
shebah sefra,shebah sefra/ garnisher of the meal,Main Dish,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Chbah_Essafra_%2Cplat_constantionois.jpg/420px-Chbah_Essafra_%2Cplat_constantionois.jpg,Algeria,DZA,"Side dish, Main dish - stand alone (e.g. one pot meal), Main dish - eaten with sides"
Legmi,Legmi/ Palm drink,Other,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Toddy_Bottle_and_Glass.jpg/375px-Toddy_Bottle_and_Glass.jpg,Algeria,DZA,Other
Jawzia,Jawziya,Dessert,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Ballotin_de_djawzia.jpg/420px-Ballotin_de_djawzia.jpg,Algeria,DZA,Dessert
el kadi ou jmaatou,The attorney and his circle,Main Dish,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Bay_quadi_darami.jpg/420px-Bay_quadi_darami.jpg,Algeria,DZA,"Main dish - stand alone (e.g. one pot meal), Main dish - eaten with sides"
el kadi ou jmaatou,The attorney and his circle,Main Dish,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Bay_quadi_darami.jpg/420px-Bay_quadi_darami.jpg,Algeria,DZA,"Main dish - stand alone (e.g. one pot meal), Main dish - eaten with sides"
mkafan fi hdjar yemah,the deceased in his mother's lap,Main Dish,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Mkfen_fi_hdjer_yemah.jpg/420px-Mkfen_fi_hdjer_yemah.jpghttps://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Mkfen_fi_hdjer_yemah.jpg/420px-Mkfen_fi_hdjer_yemah.jpg,Algeria,DZA,"Main dish - stand alone (e.g. one pot meal), Main dish - eaten with sides"
mkafan fi hdjar yemah,the deceased in his mother's lap,Main Dish,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Mkfen_fi_hdjer_yemah.jpg/420px-Mkfen_fi_hdjer_yemah.jpghttps://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Mkfen_fi_hdjer_yemah.jpg/420px-Mkfen_fi_hdjer_yemah.jpg,Algeria,DZA,"Main dish - stand alone (e.g. one pot meal), Main dish - eaten with sides"
Boussou la tmessou,Kiss it don't touch it,Dessert,https://www.196flavors.com/wp-content/uploads/2016/06/boussou-la-tmessou-7.jpg,Algeria,DZA,Dessert
Kefta,Algerian Kefta,Main Dish,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.ismQJTydjeyD88GYgnh3wwHaE8%26pid%3DApi&f=1&ipt=d792f243cedd01938c5000b9932357233866e938674389dd4463f9dfd0a9,Algeria,DZA,"Main dish - stand alone (e.g. one pot meal), Main dish - eaten with sides"
Kefta,Algerian Kefta,Main Dish,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.ismQJTydjeyD88GYgnh3wwHaE8%26pid%3DApi&f=1&ipt=d792f243cedd01938c5000b9932357233866e938674389dd4463f9dfd0a9,Algeria,DZA,"Main dish - stand alone (e.g. one pot meal), Main dish - eaten with sides"
Coca,coca,Starter,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.Je4rXKQupCJbakGrRHoacwHaEK%26pid%3DApi&f=1&ipt=f542fbc3826ff8cf47c66ded986044c3e9a4fc7b5f34b5f84f45345b3f06,Algeria,DZA,"Starter, Side dish"
Coca,coca,Side Dish,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.Je4rXKQupCJbakGrRHoacwHaEK%26pid%3DApi&f=1&ipt=f542fbc3826ff8cf47c66ded986044c3e9a4fc7b5f34b5f84f45345b3f06,Algeria,DZA,"Starter, Side dish"
Tamina,Tamina,Small Plate,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.whektB0AIjLhqInAf_BVBAHaEK%26pid%3DApi&f=1&ipt=f3289c37d2b3cc3bf363d3e7bc2151265ba53c25c31c83983ef59da2be7f,Algeria,DZA,"Small plate / bowl for sharing, Dessert"
Tamina,Tamina,Dessert,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.whektB0AIjLhqInAf_BVBAHaEK%26pid%3DApi&f=1&ipt=f3289c37d2b3cc3bf363d3e7bc2151265ba53c25c31c83983ef59da2be7f,Algeria,DZA,"Small plate / bowl for sharing, Dessert"
